"from_EX_lys__L_e","to_EX_lys__L_e","undir_EX_lys__L_e","ID","Name","Equation","ExEquation","Balance","Boundary","GRR","Type","Flux","ec-code","rhea","kegg.reaction","bigg.reaction","reactome.reaction","sbo","biocyc","seed.reaction","sabiork","metanetx.reaction","Reduced Cost"
∞,∞,∞,"EX_dopa_e","Dopamine exchange","dopa_e --> ","Dopamine --> ","{'C': -8.0, 'H': -12.0, 'N': -1.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_dopa_e","R-TGU-372542|R-GGA-372542|R-CFA-372542|R-BTA-372542|R-CEL-372542|R-DRE-372542|R-HSA-372542|R-MMU-372542|R-SSC-372542|R-DME-372542|R-RNO-372542|R-HSA-351596","SBO:0000627",,"rxn08363","7032","MNXR97758",0
12,12,12,"EX_so4_e","Sulfate exchange","so4_e <=> ","Sulfate <=> ","{'O': -4.0, 'S': -1.0}",1,"","reaction",0,,"34983|34984|34986|34985",,"EX_so4_e","R-TGU-8875871|R-DRE-8875871|R-GGA-8875871|R-BTA-8875871|R-SCE-8875871|R-HSA-8875871|R-SPO-8875871|R-XTR-8875871|R-MMU-8875871|R-RNO-8875871|R-SSC-8875871|R-PFA-8875871|R-ATH-8875871|R-CFA-8875871|R-OSA-8875871|R-DME-8875871","SBO:0000627",,"rxn09261|rxn05238",,"MNXR104469",0
12,12,12,"EX_spmd_e","Spermidine exchange","spmd_e --> ","Spermidine --> ","{'C': -7.0, 'H': -22.0, 'N': -3.0}",1,"","reaction",0,,"35040|35039|35042|35041",,"EX_spmd_e",,"SBO:0000627",,"rxn13397|rxn09266","13767","MNXR104495",0
12,12,12,"EX_succ_e","Succinate exchange","succ_e --> ","Succinate --> ","{'C': -4.0, 'H': -4.0, 'O': -4.0}",1,"","reaction",0,,,,"EX_succ_e",,"SBO:0000627","META:TRANS-RXN0-552","rxn10952|rxn09271",,"MNXR104619",-0.9037037037037032
10,10,10,"2AGPE160tipp","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)","2agpe160_p --> 2agpe160_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) --> 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","{}",0,"Y7U_RS14735","reaction",0,,,,"2AGPE160tipp",,"SBO:0000185",,"rxn07942",,"MNXR94753",-0.051851851851849914
10,10,10,"2AGPE161tipp","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)","2agpe161_p --> 2agpe161_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) --> 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","{}",0,"Y7U_RS14735","reaction",0,,,,"2AGPE161tipp",,"SBO:0000185",,,,"MNXR94754",0
12,12,12,"2AGPE180tipp","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)","2agpe180_p --> 2agpe180_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) --> 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","{}",0,"Y7U_RS14735","reaction",0,,,,"2AGPE180tipp",,"SBO:0000185",,"rxn07944",,"MNXR94755",0
12,12,12,"2AGPEAT120","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)","2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) + ATP C10H12N5O13P3 + Dodecanoate (n-C12:0) --> AMP C10H12N5O7P + Phosphatidylethanolamine (didodecanoyl, n-C12:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPEAT120",,"SBO:0000176",,,,"MNXR94757",0.0000000000000008881784197001252
∞,∞,∞,"EX_doxrbcn_e","Doxorubicin exchange","doxrbcn_e --> ","Doxorubicin --> ","{'C': -27.0, 'H': -29.0, 'N': -1.0, 'O': -11.0}",1,"","reaction",0,,"35079|35081|35080|35082",,"EX_doxrbcn_e",,"SBO:0000627",,,,"MNXR97760",0
12,12,12,"2AGPEAT140","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)","2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) + ATP C10H12N5O13P3 + Tetradecanoate (n-C14:0) --> AMP C10H12N5O7P + Phosphatidylethanolamine (ditetradecanoyl, n-C14:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPEAT140",,"SBO:0000176",,,,"MNXR94758",0.0000000000000011102230246251565
14,14,14,"EX_sucr_e","Sucrose exchange","sucr_e --> ","Sucrose C12H22O11 --> ","{'C': -12.0, 'H': -22.0, 'O': -11.0}",1,"","reaction",0,,,,"EX_sucr_e",,"SBO:0000627",,"rxn09275","13123","MNXR104641",-3.185185185185184
12,12,12,"2AGPEAT141","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)","2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) + ATP C10H12N5O13P3 + Tetradecenoate (n-C14:1) --> AMP C10H12N5O7P + Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPEAT141",,"SBO:0000176",,,,"MNXR94759",-0.0000000000000004440892098500626
16,16,16,"EX_sulfac_e","Sulfoacetate exchange","sulfac_e --> ","Sulfoacetate --> ","{'C': -2.0, 'H': -2.0, 'O': -5.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_sulfac_e",,"SBO:0000627",,"rxn09278",,"MNXR104646",0
8,8,8,"2AGPEAT160","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)","2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) + ATP C10H12N5O13P3 + Hexadecanoate (n-C16:0) --> AMP C10H12N5O7P + Phosphatidylethanolamine (dihexadecanoyl, n-C16:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,"2.3.1.40",,,"2AGPEAT160",,"SBO:0000176",,"rxn07949",,"MNXR94760",0.0000000000000004440892098500626
14,14,14,"EX_tartr__D_e","D-tartrate exchange","tartr__D_e --> ","D-tartrate --> ","{'C': -4.0, 'H': -4.0, 'O': -6.0}",1,"","reaction",0,,"35199|35200|35202|35201",,"EX_tartr__D_e",,"SBO:0000627",,,,"MNXR104722",-0.6814814814814808
18,18,18,"EX_dtmp_e","DTMP exchange","dtmp_e --> ","DTMP C10H13N2O8P --> ","{'C': -10.0, 'H': -13.0, 'N': -2.0, 'O': -8.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_dtmp_e",,"SBO:0000627",,"rxn08374",,"MNXR97806",-1.5111111111111097
14,14,14,"EX_tartr__L_e","L-tartrate exchange","tartr__L_e --> ","L-tartrate --> ","{'C': -4.0, 'H': -4.0, 'O': -6.0}",1,"","reaction",0,,,,"EX_tartr__L_e",,"SBO:0000627",,"rxn09284",,"MNXR104724",-0.7407407407407401
16,16,16,"EX_taur_e","Taurine exchange","taur_e --> ","Taurine C2H7NO3S --> ","{'C': -2.0, 'H': -7.0, 'N': -1.0, 'O': -3.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_taur_e",,"SBO:0000627",,"rxn09286|rxn13402",,"MNXR104733",0
8,8,8,"2AGPEAT161","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)","2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) + ATP C10H12N5O13P3 + Hexadecenoate (n-C16:1) --> AMP C10H12N5O7P + Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPEAT161",,"SBO:0000176",,,,"MNXR94761",-0.0000000000000013322676295501878
12,12,12,"2AGPEAT180","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)","2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) + ATP C10H12N5O13P3 + Octadecanoate (n-C18:0) --> AMP C10H12N5O7P + Phosphatidylethanolamine (dioctadecanoyl, n-C18:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,"2.3.1.40",,,"2AGPEAT180",,"SBO:0000176",,"rxn07951",,"MNXR94762",0.0000000000000017763568394002505
8,8,8,"2AGPEAT181","2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)","2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) + ATP C10H12N5O13P3 + Octadecenoate (n-C18:1) --> AMP C10H12N5O7P + Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPEAT181",,"SBO:0000176",,,,"MNXR94763",0
12,12,12,"2AGPGAT120","2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)","2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) + ATP C10H12N5O13P3 + Dodecanoate (n-C12:0) --> AMP C10H12N5O7P + Phosphatidylglycerol (didodecanoyl, n-C12:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT120",,"SBO:0000176",,,,"MNXR94771",0
20,20,20,"EX_tcynt_e","Thiocyanate exchange","tcynt_e --> ","Thiocyanate --> ","{'C': -1.0, 'N': -1.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_tcynt_e",,"SBO:0000627",,"rxn09287",,"MNXR104749",0
18,18,18,"EX_dump_e","DUMP exchange","dump_e --> ","DUMP C9H11N2O8P --> ","{'C': -9.0, 'H': -11.0, 'N': -2.0, 'O': -8.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_dump_e",,"SBO:0000627",,"rxn09816|rxn08375",,"MNXR97813",-1.5259259259259246
16,16,16,"EX_thm_e","Thiamin exchange","thm_e --> ","Thiamin --> ","{'C': -12.0, 'H': -17.0, 'N': -4.0, 'O': -1.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_thm_e",,"SBO:0000627",,"rxn11006|rxn09300","12167","MNXR131128",0
12,12,12,"EX_thr__L_e","L-Threonine exchange","thr__L_e --> ","L-Threonine --> ","{'C': -4.0, 'H': -9.0, 'N': -1.0, 'O': -3.0}",1,"","reaction",0,,"35022|35020|35019|35021",,"EX_thr__L_e",,"SBO:0000627",,"rxn09307|rxn13117|rxn10898","13464","MNXR104852",-1.2148148148148146
14,14,14,"EX_thrp_e","L-Threonine O-3-phosphate exchange","thrp_e --> ","L-Threonine O-3-phosphate --> ","{'C': -4.0, 'H': -8.0, 'N': -1.0, 'O': -6.0, 'P': -1.0}",1,"","reaction",0,,,,"EX_thrp_e",,"SBO:0000627",,"rxn09303",,"MNXR104845",-1.2148148148148143
18,18,18,"EX_thym_e","Thymine exchange","thym_e --> ","Thymine C5H6N2O2 --> ","{'C': -5.0, 'H': -6.0, 'N': -2.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_thym_e",,"SBO:0000627","META:TRANS-RXN0-524","rxn09309",,"MNXR104853",0
16,16,16,"EX_thymd_e","Thymidine exchange","thymd_e --> ","Thymidine C10H14N2O5 --> ","{'C': -10.0, 'H': -14.0, 'N': -2.0, 'O': -5.0}",1,"","reaction",0,,,,"EX_thymd_e",,"SBO:0000627",,"rxn10916|rxn09299",,"MNXR104821",-1.51111111111111
12,12,12,"EX_tma_e","Trimethylamine exchange","tma_e --> ","Trimethylamine --> ","{'C': -3.0, 'H': -10.0, 'N': -1.0}",1,"","reaction",0,,,,"EX_tma_e",,"SBO:0000627",,"rxn09318",,"MNXR104884",0
12,12,12,"EX_tmao_e","Trimethylamine N-oxide exchange","tmao_e --> ","Trimethylamine N-oxide --> ","{'C': -3.0, 'H': -9.0, 'N': -1.0, 'O': -1.0}",1,"","reaction",0,,,,"EX_tmao_e",,"SBO:0000627",,"rxn09317",,"MNXR104882",0
12,12,12,"2AGPGAT140","2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)","2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) + ATP C10H12N5O13P3 + Tetradecanoate (n-C14:0) --> AMP C10H12N5O7P + Phosphatidylglycerol (ditetradecanoyl, n-C14:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT140",,"SBO:0000176",,,,"MNXR94772",-0.04444444444444344
12,12,12,"2AGPGAT141","2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)","2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) + ATP C10H12N5O13P3 + Tetradecenoate (n-C14:1) --> AMP C10H12N5O7P + Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT141",,"SBO:0000176",,,,"MNXR94773",0
22,22,22,"3HPPtpp","3-hydroxypropionate transport via proton symport (periplasm)","3hpp_c + h_c --> 3hpp_p + h_p","3-Hydroxypropanoate + H+ --> 3-Hydroxypropanoate + H+","{}",0,"","reaction",0,,,,"3HPPtpp",,"SBO:0000185",,,,"MNXR94905",0
14,14,14,"EX_tre_e","Trehalose exchange","tre_e --> ","Trehalose --> ","{'C': -12.0, 'H': -22.0, 'O': -11.0}",1,"","reaction",0,,"17631|17632|17630|17629",,"EX_tre_e",,"SBO:0000627",,"rxn09323",,"MNXR104933",-3.1851851851851833
12,12,12,"EX_trp__L_e","L-Tryptophan exchange","trp__L_e --> ","L-Tryptophan --> ","{'C': -11.0, 'H': -12.0, 'N': -2.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_trp__L_e",,"SBO:0000627","META:RXN66-449","rxn09327|rxn05222","14017|13425","MNXR104949",-0.6370370370370364
10,10,10,"4PCPpp","Tetrapeptide L,D-carboxypeptidase (periplasm)","LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p","L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine + H2O H2O --> L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate + D-Alanine","{}",0,"","reaction",0,,,,"4PCPpp",,"SBO:0000176",,"rxn08007",,"MNXR95049",0.00000000000000042887764713258854
16,16,16,"EX_duri_e","Deoxyuridine exchange","duri_e --> ","Deoxyuridine --> ","{'C': -9.0, 'H': -12.0, 'N': -2.0, 'O': -5.0}",1,"","reaction",0,,,,"EX_duri_e",,"SBO:0000627",,"rxn10984|rxn08377",,"MNXR97819",-1.5259259259259248
14,14,14,"3NTD2pp","3'-nucleotidase (UMP) (periplasm)","3ump_p + h2o_p --> pi_p + uri_p","3  UMP C9H11N2O9P + H2O H2O --> Phosphate + Uridine","{}",0,"Y7U_RS21920","reaction",0,"3.1.3.6","27891|27890|27892|27893","R01877","3NTD2pp",,"SBO:0000176","META:RXN-14115","rxn01367","487","MNXR94932",0
14,14,14,"3NTD7pp","3'-nucleotidase (AMP) (periplasm)","3amp_p + h2o_p --> adn_p + pi_p","3  AMP C10H12N5O7P + H2O H2O --> Adenosine + Phosphate","{}",0,"Y7U_RS21920","reaction",0,"3.1.3.6","27901|27899|27898|27900","R01562","3NTD7pp",,"SBO:0000176","META:RXN-14126","rxn01139","305","MNXR94935",0
18,18,18,"EX_tsul_e","Thiosulfate exchange","tsul_e --> ","Thiosulfate --> ","{'O': -3.0, 'S': -2.0}",1,"","reaction",0,,"32808|32810|32807|32809",,"EX_tsul_e",,"SBO:0000627",,"rxn09330",,"MNXR104966",0
14,14,14,"EX_ttdca_e","Tetradecanoate (n-C14:0) exchange","ttdca_e --> ","Tetradecanoate (n-C14:0) --> ","{'C': -14.0, 'H': -27.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_ttdca_e",,"SBO:0000627",,,,"MNXR99092",-3.3629629629629516
14,14,14,"3NTD9pp","3'-nucleotidase (GMP) (periplasm)","3gmp_p + h2o_p --> gsn_p + pi_p","Guanosine 3  phosphate C10H12N5O8P + H2O H2O --> Guanosine + Phosphate","{}",0,"Y7U_RS21920","reaction",0,"3.1.3.6","27864|27865|27862|27863","R02148","3NTD9pp",,"SBO:0000176","META:RXN-14124","rxn01549","309","MNXR94936",0.00000000000000011102230246251565
16,16,16,"EX_ttdcea_e","Tetradecenoate (n-C14:1) exchange","ttdcea_e --> ","Tetradecenoate (n-C14:1) --> ","{'C': -14.0, 'H': -25.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_ttdcea_e",,"SBO:0000627",,,,"MNXR99096",-3.466666666666657
12,12,12,"EX_eca4colipa_e","(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange","eca4colipa_e --> ","(enterobacterial common antigen)x4 core oligosaccharide lipid A --> ","{'C': -272.0, 'H': -447.0, 'N': -14.0, 'O': -160.0, 'P': -4.0}",1,"","reaction",0,,,,"EX_eca4colipa_e",,"SBO:0000627",,"rxn08406",,"MNXR97872",0
14,14,14,"3NTD4pp","3'-nucleotidase (CMP) (periplasm)","3cmp_p + h2o_p --> cytd_p + pi_p","3  CMP C9H12N3O8P + H2O H2O --> Cytidine + Phosphate","{}",0,"Y7U_RS21920","reaction",0,"3.1.3.6","27895|27897|27896|27894","R02370","3NTD4pp",,"SBO:0000176","META:RXN-14090","rxn01704","508","MNXR94934",0.00000000000000011102230246251565
8,8,8,"2AGPGAT160","2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)","2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) + ATP C10H12N5O13P3 + Hexadecanoate (n-C16:0) --> AMP C10H12N5O7P + Phosphatidylglycerol (dihexadecanoyl, n-C16:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT160",,"SBO:0000176",,,,"MNXR94774",-0.04444444444444107
8,8,8,"2AGPGAT161","2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)","2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) + ATP C10H12N5O13P3 + Hexadecenoate (n-C16:1) --> AMP C10H12N5O7P + Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT161",,"SBO:0000176",,,,"MNXR94775",-0.04444444444444331
12,12,12,"EX_enlipa_e","Phosphoethanolamine KDO(2)-lipid (A) exchange","enlipa_e --> ","Phosphoethanolamine KDO(2)-lipid (A) --> ","{'C': -112.0, 'H': -202.0, 'N': -3.0, 'O': -42.0, 'P': -3.0}",1,"","reaction",0,,,,"EX_enlipa_e",,"SBO:0000627",,"rxn08419",,"MNXR97923",0
12,12,12,"2AGPGAT180","2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)","2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) + ATP C10H12N5O13P3 + Octadecanoate (n-C18:0) --> AMP C10H12N5O7P + Phosphatidylglycerol (dioctadecanoyl, n-C18:0) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT180",,"SBO:0000176",,,,"MNXR94776",0.0000000000000017763568394002505
8,8,8,"2AGPGAT181","2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)","2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c","2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) + ATP C10H12N5O13P3 + Octadecenoate (n-C18:1) --> AMP C10H12N5O7P + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1) + Diphosphate","{}",0,"Y7U_RS14740","reaction",0,,,,"2AGPGAT181",,"SBO:0000176",,,,"MNXR94777",-0.04444444444444401
14,14,14,"2DGULRGx","2-Dehydro-L-gulonate reductase to gluconate (NADH)","2dhguln_c + h_c + nadh_c --> glcn_c + nad_c","2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide - reduced --> D-Gluconate + Nicotinamide adenine dinucleotide","{}",0,"Y7U_RS19380","reaction",0,,,,"2DGULRGx",,"SBO:0000176",,,,"MNXR94785",-0.00000000000000011102230246251565
10,10,10,"5MTRtpp","5-Methylthio-D-ribose transport via proton symport (periplasm)","5mtr_c + h_c --> 5mtr_p + h_p","5-Methylthio-D-ribose + H+ --> 5-Methylthio-D-ribose + H+","{}",0,"","reaction",0,,,,"5MTRtpp",,"SBO:0000185",,"rxn05481",,"MNXR95090",0.0000000000000000008673617379884035
14,14,14,"2DGULRGy","2-Dehydro-L-gulonate reductase to gluconate (NADPH)","2dhguln_c + h_c + nadph_c --> glcn_c + nadp_c","2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> D-Gluconate + Nicotinamide adenine dinucleotide phosphate","{}",0,"Y7U_RS19380","reaction",0,,,,"2DGULRGy",,"SBO:0000176",,,,"MNXR94786",-0.029629629629630335
12,12,12,"EX_enter_e","Enterochelin exchange","enter_e --> ","Enterochelin --> ","{'C': -30.0, 'H': -27.0, 'N': -3.0, 'O': -15.0}",1,"","reaction",0,,,,"EX_enter_e",,"SBO:0000627","META:RXN0-8|META:TRANS-RXN0-496",,,"MNXR123417",0
16,16,16,"2DGULRx","2-dehydro-L-gulonate reductase (NADH)","2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c","2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide - reduced --> L-Idonate + Nicotinamide adenine dinucleotide","{}",0,"Y7U_RS19380","reaction",0,,,,"2DGULRx",,"SBO:0000176",,"rxn07969",,"MNXR94787",-0.02962962962963045
12,12,12,"AACTOOR","Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)","aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c","Aminoacetone + H2O H2O + O2 O2 --> Hydrogen peroxide + Methylglyoxal + Ammonium","{}",0,"","reaction",0,"1.4.3.4|1.4.3.21|1.4.3.6","28187|28189|28186|28188","R02529","AACTOOR",,"SBO:0000176","META:AMACETOXID-RXN","rxn01833",,"MNXR95149",-0.07407407407407363
16,16,16,"2DGULRy","2-dehydro-L-gulonate reductase (NADPH)","2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c","2-Dehydro-L-gulonate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> L-Idonate + Nicotinamide adenine dinucleotide phosphate","{}",0,"Y7U_RS19380","reaction",0,,,,"2DGULRy",,"SBO:0000176",,"rxn07970",,"MNXR94788",-0.059259259259260386
10,10,10,"ACALDtpp","Acetaldehyde reversible transport (periplasm)","acald_p <=> acald_c","Acetaldehyde <=> Acetaldehyde","{}",0,"s0001","reaction",0,,,,"ACALDtpp","R-HSA-449872","SBO:0000185",,"rxn09700|rxn08033|rxn13212|rxn08032",,"MNXR95212",0
16,16,16,"EX_etha_e","Ethanolamine exchange","etha_e --> ","Ethanolamine --> ","{'C': -2.0, 'H': -8.0, 'N': -1.0, 'O': -1.0}",1,"","reaction",0,,"32750|32749|32747|32748",,"EX_etha_e",,"SBO:0000627","META:TRANS-RXN0-476","rxn08424|rxn10841",,"MNXR97974",-0.5777777777777765
16,16,16,"ACGAL1PPpp","N-acetyl-D-galactosamine 1-phosphatase (periplasm)","acgal1p_p + h2o_p --> acgal_p + pi_p","N-Acetyl-D-galactosamine 1-phosphate + H2O H2O --> N-Acetyl-D-galactosamine + Phosphate","{}",0,"","reaction",0,"3.1.3.10",,,"ACGAL1PPpp",,"SBO:0000176",,"rxn08035",,"MNXR95233",0
12,12,12,"ACGAM1PPpp","N-acetyl-D-glucosamine 1-phosphatase (periplasm)","acgam1p_p + h2o_p --> acgam_p + pi_p","N-Acetyl-D-glucosamine 1-phosphate + H2O H2O --> N-Acetyl-D-glucosamine + Phosphate","{}",0,"","reaction",0,"3.1.3.10",,,"ACGAM1PPpp",,"SBO:0000176",,"rxn08038",,"MNXR95245",0
18,18,18,"3AMACHYD","3-aminoacrylate hydrolase","3amac_c + h2o_c + h_c --> msa_c + nh4_c","3-Aminoacrylate + H2O H2O + H+ --> Malonate semialdehyde + Ammonium","{}",0,"Y7U_RS05255","reaction",0,"3.5.1.-","34948|34947|34950|34949","R09983","3AMACHYD",,"SBO:0000176","META:RXN0-6452",,,"MNXR94854",0
12,12,12,"2MAHMP","2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase","2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c","2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate + H2O H2O --> 4-Amino-2-methyl-5-phosphomethylpyrimidine + H+ + Phosphate","{}",0,"Y7U_RS02300 or Y7U_RS05915","reaction",0,,,,"2MAHMP",,"SBO:0000176",,"rxn07971",,"MNXR142616",-0.014814814814815988
14,14,14,"3HCINNMH","3-hydroxycinnamate hydroxylase","3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c","3-hydroxycinnamic acid + H+ + Nicotinamide adenine dinucleotide - reduced + O2 O2 --> 2,3-dihydroxicinnamic acid + H2O H2O + Nicotinamide adenine dinucleotide","{}",0,"Y7U_RS01790","reaction",0,"1.14.13.127","27849|27847|27846|27848","R06787","3HCINNMH",,"SBO:0000176","META:RXN-10040","rxn04602",,"MNXR94893",0
14,14,14,"3HPPPNH","3-(3-hydroxy-phenyl)propionate hydroxylase","3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c","3-(3-hydroxy-phenyl)propionate + H+ + Nicotinamide adenine dinucleotide - reduced + O2 O2 --> 3-(2,3-Dihydroxyphenyl)propanoate + H2O H2O + Nicotinamide adenine dinucleotide","{}",0,"Y7U_RS01790","reaction",0,"1.14.13.127","24786|24787|24788|24785","R06786","3HPPPNH",,"SBO:0000176","META:MHPHYDROXY-RXN","rxn04601",,"MNXR94903",-0.0000000000000002220446049250313
14,14,14,"3KGK","3-keto-L-gulonate kinase","3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c","3-Dehydro-L-gulonate + ATP C10H12N5O13P3 --> 3-keto-L-gulonate-6-phosphate + ADP C10H12N5O10P2 + H+","{}",0,"Y7U_RS19230","reaction",0,"2.7.1.53","28222|28223|28225|28224","R07127","3KGK",,"SBO:0000176","META:RXN0-704","rxn04930",,"MNXR94909",-0.0000000000000002220446049250313
12,12,12,"3OAR161","3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)","3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c","3-oxo-cis-palm-9-eoyl-[acyl-carrier protein] + H+ + Nicotinamide adenine dinucleotide phosphate - reduced --> (R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein] + Nicotinamide adenine dinucleotide phosphate","{}",0,"Y7U_RS05705","reaction",0,"1.1.1.100",,,"3OAR161",,"SBO:0000176",,"rxn07991",,"MNXR94947",-0.32592592592592756
